################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  2.8359441588821122E-01 a       260     0    11     1    10
 -1.2987674249377601E-01 a       261     0    11     1    11
  1.0007625693663855E-01 a       262     0    11     1    12
  2.0241743653854713E-01 a       263     0    11     1    13
 -9.6879317174599258E-02 a       264     0    11     1    14
  1.8748213400802688E-01 a       265     0    11     1    15
 -3.2284139612840787E-03 a       266     0    11     1    16
 -9.3949973104301199E-02 a       267     0    11     1    17
 -1.3796296764044066E-01 a       268     0    11     1    18
  7.1021117641879697E-02 a       269     0    11     1    19
  8.0605334561223069E-02 a       270     0    11     1    20
 -2.0797207742702340E-03 a       271     0    11     1    21
  2.5277688649820923E-01 a       272     0    11     1    22
  4.6853490632702943E-02 a       273     0    11     1    23
 -8.2177362428011394E-02 a       274     0    11     1    24
  1.0300600404192947E-01 a       275     0    11     1    25
 -1.5222559477644839E-02 a       276     0    12     1     1
 -1.0099927252892264E-01 a       277     0    12     1     2
  1.5214407953766002E-01 a       278     0    12     1     3
  5.2668200043843504E-02 a       279     0    12     1     4
 -1.4982924249920959E-01 a       280     0    12     1     5
  8.0166232309941007E-02 a       281     0    12     1     6
  4.9397848891273376E-02 a       282     0    12     1     7
 -2.4135035797555257E-01 a       283     0    12     1     8
 -8.8318079289618615E-02 a       284     0    12     1     9
  1.2073035387442900E-01 a       285     0    12     1    10
 -3.5479006810771824E-01 a       286     0    12     1    11
 -6.7318665895079377E-03 a       287     0    12     1    12
  4.6606114823344834E-02 a       288     0    12     1    13
 -1.7155235601742586E-01 a       289     0    12     1    14
 -2.4036997235055684E-02 a       290     0    12     1    15
  4.5174075542118865E-02 a       291     0    12     1    16
 -2.7033636294300311E-04 a       292     0    12     1    17
 -1.9120849217483318E-01 a       293     0    12     1    18
 -2.1325082053921401E-01 a       294     0    12     1    19
 -1.7871359269723444E-01 a       295     0    12     1    20
  1.2182900919178208E-01 a       296     0    12     1    21
 -1.3636308405933145E-01 a       297     0    12     1    22
  2.7567535072793176E-01 a       298     0    12     1    23
 -2.7105254762295639E-01 a       299     0    12     1    24
